trial_number,state,value,brier_score,duration,params,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,dataset,test_brier_score
0,1,-0.18974082507172618,0.18974082507172618,8.219366,"{'n_estimators': 624, 'criterion': 'log_loss', 'max_depth': None, 'min_samples_split': 12, 'min_samples_leaf': 7, 'max_features': 0.1, 'max_samples': None}",624,log_loss,,12,7,0.1,,Bank,0.18388620638580755
1,1,-0.18710794705736827,0.18710794705736827,11.288139,"{'n_estimators': 834, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 16, 'min_samples_leaf': 2, 'max_features': 0.1, 'max_samples': None}",834,gini,,16,2,0.1,,Bank,0.18388620638580755
2,1,-0.19515893631204087,0.19515893631204087,17.107491,"{'n_estimators': 1451, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 9, 'max_features': 0.1, 'max_samples': None}",1451,log_loss,10.0,2,9,0.1,,Bank,0.18388620638580755
3,1,-0.19403791814137056,0.19403791814137056,14.22567,"{'n_estimators': 1185, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 0.1, 'max_samples': None}",1185,log_loss,10.0,7,4,0.1,,Bank,0.18388620638580755
4,1,-0.1867636000977962,0.1867636000977962,3.233831,"{'n_estimators': 204, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 0.33, 'max_samples': 0.5}",204,log_loss,15.0,15,1,0.33,0.5,Bank,0.18388620638580755
5,1,-0.1898668439585035,0.1898668439585035,7.052458,"{'n_estimators': 555, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 12, 'min_samples_leaf': 7, 'max_features': 0.1, 'max_samples': None}",555,gini,,12,7,0.1,,Bank,0.18388620638580755
6,1,-0.18672366195592588,0.18672366195592588,8.094936,"{'n_estimators': 540, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': None}",540,entropy,15.0,7,2,sqrt,,Bank,0.18388620638580755
7,1,-0.1852421881588045,0.1852421881588045,13.094124,"{'n_estimators': 855, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 17, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",855,entropy,,17,1,sqrt,0.9,Bank,0.18388620638580755
8,1,-0.1909431734817531,0.1909431734817531,10.359906,"{'n_estimators': 826, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.7}",826,gini,10.0,7,1,sqrt,0.7,Bank,0.18388620638580755
9,1,-0.18957156091552063,0.18957156091552063,12.700522,"{'n_estimators': 785, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 13, 'min_samples_leaf': 6, 'max_features': 0.33, 'max_samples': None}",785,log_loss,10.0,13,6,0.33,,Bank,0.18388620638580755
10,1,-0.18644601957982918,0.18644601957982918,16.661994,"{'n_estimators': 1188, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 19, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1188,entropy,20.0,19,4,sqrt,0.9,Bank,0.18388620638580755
11,1,-0.1864477390614805,0.1864477390614805,16.27265,"{'n_estimators': 1138, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 19, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1138,entropy,20.0,19,4,sqrt,0.9,Bank,0.18388620638580755
12,1,-0.18600600555393057,0.18600600555393057,16.801824,"{'n_estimators': 1164, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': 0.9}",1164,entropy,20.0,19,3,sqrt,0.9,Bank,0.18388620638580755
13,1,-0.1860233166851221,0.1860233166851221,15.089234,"{'n_estimators': 1044, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 17, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': 0.9}",1044,entropy,20.0,17,3,sqrt,0.9,Bank,0.18388620638580755
14,1,-0.18544619007955196,0.18544619007955196,21.650369,"{'n_estimators': 1468, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 19, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",1468,entropy,,19,2,sqrt,0.9,Bank,0.18388620638580755
