trial_number,state,value,brier_score,duration,params,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,dataset,test_brier_score
0,1,-0.16756711275017552,0.16756711275017552,5.887308,"{'n_estimators': 624, 'criterion': 'log_loss', 'max_depth': None, 'min_samples_split': 12, 'min_samples_leaf': 7, 'max_features': 0.1, 'max_samples': None}",624,log_loss,,12,7,0.1,,Gym,0.17852989651567044
1,1,-0.16608859813713922,0.16608859813713922,7.670219,"{'n_estimators': 834, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 16, 'min_samples_leaf': 2, 'max_features': 0.1, 'max_samples': None}",834,gini,,16,2,0.1,,Gym,0.17852989651567044
2,1,-0.1699034794601867,0.1699034794601867,13.235702,"{'n_estimators': 1451, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 9, 'max_features': 0.1, 'max_samples': None}",1451,log_loss,10.0,2,9,0.1,,Gym,0.17852989651567044
3,1,-0.16516017023218554,0.16516017023218554,10.761351,"{'n_estimators': 1185, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 0.1, 'max_samples': None}",1185,log_loss,10.0,7,4,0.1,,Gym,0.17852989651567044
4,1,-0.15632388534495886,0.15632388534495886,1.967517,"{'n_estimators': 204, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 0.33, 'max_samples': 0.5}",204,log_loss,15.0,15,1,0.33,0.5,Gym,0.17852989651567044
5,1,-0.16846877579583452,0.16846877579583452,5.124016,"{'n_estimators': 555, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 12, 'min_samples_leaf': 7, 'max_features': 0.1, 'max_samples': None}",555,gini,,12,7,0.1,,Gym,0.17852989651567044
6,1,-0.155240886636331,0.155240886636331,5.367293,"{'n_estimators': 540, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': None}",540,entropy,15.0,7,2,sqrt,,Gym,0.17852989651567044
7,1,-0.15561596639673142,0.15561596639673142,8.320655,"{'n_estimators': 855, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 17, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",855,entropy,,17,1,sqrt,0.9,Gym,0.17852989651567044
8,1,-0.15671273513235115,0.15671273513235115,7.680582,"{'n_estimators': 826, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.7}",826,gini,10.0,7,1,sqrt,0.7,Gym,0.17852989651567044
9,1,-0.15504050564100058,0.15504050564100058,7.588047,"{'n_estimators': 785, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 13, 'min_samples_leaf': 6, 'max_features': 0.33, 'max_samples': None}",785,log_loss,10.0,13,6,0.33,,Gym,0.17852989651567044
10,1,-0.15586509265736653,0.15586509265736653,1.833937,"{'n_estimators': 189, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.5}",189,log_loss,20.0,2,5,0.33,0.5,Gym,0.17852989651567044
11,1,-0.15525374750463475,0.15525374750463475,4.967871,"{'n_estimators': 505, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': 0.9}",505,entropy,15.0,8,3,sqrt,0.9,Gym,0.17852989651567044
12,1,-0.1553343016626793,0.1553343016626793,10.180473,"{'n_estimators': 1102, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 9, 'min_samples_leaf': 6, 'max_features': 0.33, 'max_samples': 0.7}",1102,entropy,15.0,9,6,0.33,0.7,Gym,0.17852989651567044
13,1,-0.15507764888254982,0.15507764888254982,3.998618,"{'n_estimators': 407, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 19, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': None}",407,entropy,20.0,19,4,0.33,,Gym,0.17852989651567044
14,1,-0.1552068516982157,0.1552068516982157,3.325479,"{'n_estimators': 339, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 19, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': None}",339,entropy,20.0,19,5,0.33,,Gym,0.17852989651567044
15,1,-0.1554421522294881,0.1554421522294881,9.983731,"{'n_estimators': 1059, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 19, 'min_samples_leaf': 9, 'max_features': 0.33, 'max_samples': None}",1059,log_loss,20.0,19,9,0.33,,Gym,0.17852989651567044
16,1,-0.15474970380708478,0.15474970380708478,3.195205,"{'n_estimators': 324, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 13, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': 0.9}",324,entropy,10.0,13,4,0.33,0.9,Gym,0.17852989651567044
17,1,-0.15542133381650203,0.15542133381650203,6.627968,"{'n_estimators': 702, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 14, 'min_samples_leaf': 7, 'max_features': 0.33, 'max_samples': 0.9}",702,entropy,10.0,14,7,0.33,0.9,Gym,0.17852989651567044
18,2,-0.15359768901385268,0.15359768901385268,0.2103,"{'n_estimators': 101, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 11, 'min_samples_leaf': 6, 'max_features': 0.33, 'max_samples': 0.9}",101,log_loss,10.0,11,6,0.33,0.9,Gym,0.17852989651567044
19,2,-0.15336186273767857,0.15336186273767857,2.522525,"{'n_estimators': 1368, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 13, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': 0.9}",1368,gini,10.0,13,4,0.33,0.9,Gym,0.17852989651567044
20,2,-0.1546901063569811,0.1546901063569811,0.591842,"{'n_estimators': 310, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': 0.33, 'max_samples': 0.5}",310,log_loss,10.0,10,8,0.33,0.5,Gym,0.17852989651567044
21,1,-0.15535922934412014,0.15535922934412014,3.632737,"{'n_estimators': 383, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 17, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': 0.7}",383,entropy,20.0,17,4,0.33,0.7,Gym,0.17852989651567044
22,1,-0.15520413319091225,0.15520413319091225,4.381557,"{'n_estimators': 443, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 0.33, 'max_samples': 0.9}",443,entropy,20.0,5,3,0.33,0.9,Gym,0.17852989651567044
23,1,-0.1552544657840391,0.1552544657840391,6.748447,"{'n_estimators': 708, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 14, 'min_samples_leaf': 6, 'max_features': 0.33, 'max_samples': None}",708,entropy,10.0,14,6,0.33,,Gym,0.17852989651567044
24,1,-0.15568192655444404,0.15568192655444404,2.622409,"{'n_estimators': 263, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 17, 'min_samples_leaf': 3, 'max_features': 0.33, 'max_samples': None}",263,entropy,20.0,17,3,0.33,,Gym,0.17852989651567044
25,1,-0.15533725921596975,0.15533725921596975,1.147189,"{'n_estimators': 109, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 15, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.9}",109,entropy,10.0,15,5,0.33,0.9,Gym,0.17852989651567044
26,1,-0.15506746333633648,0.15506746333633648,3.951599,"{'n_estimators': 414, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 11, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': 0.7}",414,entropy,10.0,11,4,0.33,0.7,Gym,0.17852989651567044
27,1,-0.15483378438863843,0.15483378438863843,9.606405,"{'n_estimators': 1035, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 11, 'min_samples_leaf': 5, 'max_features': 0.33, 'max_samples': 0.7}",1035,entropy,10.0,11,5,0.33,0.7,Gym,0.17852989651567044
28,2,-0.15339916969968542,0.15339916969968542,1.855243,"{'n_estimators': 1009, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 13, 'min_samples_leaf': 6, 'max_features': 0.33, 'max_samples': 0.7}",1009,gini,10.0,13,6,0.33,0.7,Gym,0.17852989651567044
29,1,-0.15555031571806127,0.15555031571806127,8.738631,"{'n_estimators': 947, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 12, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_samples': 0.7}",947,log_loss,10.0,12,8,sqrt,0.7,Gym,0.17852989651567044
30,2,-0.16381345620178026,0.16381345620178026,2.29716,"{'n_estimators': 1260, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 0.1, 'max_samples': 0.7}",1260,log_loss,10.0,10,5,0.1,0.7,Gym,0.17852989651567044
