trial_number,state,value,brier_score,duration,params,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,dataset,test_brier_score
0,1,-0.1348185836896321,0.1348185836896321,5.775811,"{'n_estimators': 624, 'criterion': 'log_loss', 'max_depth': None, 'min_samples_split': 12, 'min_samples_leaf': 7, 'max_features': 0.1, 'max_samples': None}",624,log_loss,,12,7,0.1,,Heart Disease,0.10651998928662225
1,1,-0.1322508018882207,0.1322508018882207,7.565669,"{'n_estimators': 834, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 16, 'min_samples_leaf': 2, 'max_features': 0.1, 'max_samples': None}",834,gini,,16,2,0.1,,Heart Disease,0.10651998928662225
2,1,-0.13730973326953352,0.13730973326953352,12.931644,"{'n_estimators': 1451, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 9, 'max_features': 0.1, 'max_samples': None}",1451,log_loss,10.0,2,9,0.1,,Heart Disease,0.10651998928662225
3,1,-0.13094314506284419,0.13094314506284419,10.680345,"{'n_estimators': 1185, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 0.1, 'max_samples': None}",1185,log_loss,10.0,7,4,0.1,,Heart Disease,0.10651998928662225
4,1,-0.12968758068427297,0.12968758068427297,1.926468,"{'n_estimators': 204, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 0.33, 'max_samples': 0.5}",204,log_loss,15.0,15,1,0.33,0.5,Heart Disease,0.10651998928662225
5,1,-0.13540294710767703,0.13540294710767703,5.096837,"{'n_estimators': 555, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 12, 'min_samples_leaf': 7, 'max_features': 0.1, 'max_samples': None}",555,gini,,12,7,0.1,,Heart Disease,0.10651998928662225
6,1,-0.12681653705084175,0.12681653705084175,4.85857,"{'n_estimators': 540, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': None}",540,entropy,15.0,7,2,sqrt,,Heart Disease,0.10651998928662225
7,1,-0.12735458445790065,0.12735458445790065,7.683237,"{'n_estimators': 855, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 17, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",855,entropy,,17,1,sqrt,0.9,Heart Disease,0.10651998928662225
8,1,-0.12717624637785555,0.12717624637785555,7.375138,"{'n_estimators': 826, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.7}",826,gini,10.0,7,1,sqrt,0.7,Heart Disease,0.10651998928662225
9,1,-0.12771075628979317,0.12771075628979317,7.007829,"{'n_estimators': 785, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 13, 'min_samples_leaf': 6, 'max_features': 0.33, 'max_samples': None}",785,log_loss,10.0,13,6,0.33,,Heart Disease,0.10651998928662225
