trial_number,state,value,brier_score,duration,params,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,dataset,test_brier_score
0,1,-0.12955270585020032,0.12955270585020032,7.524058,"{'n_estimators': 624, 'criterion': 'log_loss', 'max_depth': None, 'min_samples_split': 12, 'min_samples_leaf': 7, 'max_features': 0.1, 'max_samples': None}",624,log_loss,,12,7,0.1,,Titanic,0.1509247744268588
1,1,-0.12354399296619434,0.12354399296619434,10.325925,"{'n_estimators': 834, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 16, 'min_samples_leaf': 2, 'max_features': 0.1, 'max_samples': None}",834,gini,,16,2,0.1,,Titanic,0.1509247744268588
2,1,-0.13328108925649845,0.13328108925649845,17.320611,"{'n_estimators': 1451, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 9, 'max_features': 0.1, 'max_samples': None}",1451,log_loss,10.0,2,9,0.1,,Titanic,0.1509247744268588
3,1,-0.12312097307337319,0.12312097307337319,14.526364,"{'n_estimators': 1185, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 0.1, 'max_samples': None}",1185,log_loss,10.0,7,4,0.1,,Titanic,0.1509247744268588
4,1,-0.12144558663735391,0.12144558663735391,2.49437,"{'n_estimators': 204, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 0.33, 'max_samples': 0.5}",204,log_loss,15.0,15,1,0.33,0.5,Titanic,0.1509247744268588
5,1,-0.1303743099786982,0.1303743099786982,6.737149,"{'n_estimators': 555, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 12, 'min_samples_leaf': 7, 'max_features': 0.1, 'max_samples': None}",555,gini,,12,7,0.1,,Titanic,0.1509247744268588
6,1,-0.11563971595933183,0.11563971595933183,7.421418,"{'n_estimators': 540, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': None}",540,entropy,15.0,7,2,sqrt,,Titanic,0.1509247744268588
7,1,-0.11845613487020254,0.11845613487020254,11.469878,"{'n_estimators': 855, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 17, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",855,entropy,,17,1,sqrt,0.9,Titanic,0.1509247744268588
8,1,-0.11629531806657942,0.11629531806657942,10.532912,"{'n_estimators': 826, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.7}",826,gini,10.0,7,1,sqrt,0.7,Titanic,0.1509247744268588
9,1,-0.12100407026385891,0.12100407026385891,10.470521,"{'n_estimators': 785, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 13, 'min_samples_leaf': 6, 'max_features': 0.33, 'max_samples': None}",785,log_loss,10.0,13,6,0.33,,Titanic,0.1509247744268588
10,1,-0.11943135881556297,0.11943135881556297,1.973658,"{'n_estimators': 148, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.5}",148,entropy,15.0,7,4,sqrt,0.5,Titanic,0.1509247744268588
11,1,-0.11637443285761546,0.11637443285761546,5.604402,"{'n_estimators': 406, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': 0.7}",406,entropy,20.0,7,3,sqrt,0.7,Titanic,0.1509247744268588
12,1,-0.11646275698399103,0.11646275698399103,13.755505,"{'n_estimators': 1056, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.7}",1056,gini,15.0,3,2,sqrt,0.7,Titanic,0.1509247744268588
13,1,-0.11691062544243495,0.11691062544243495,5.628646,"{'n_estimators': 437, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': 0.7}",437,entropy,20.0,9,3,sqrt,0.7,Titanic,0.1509247744268588
14,1,-0.1154216684481445,0.1154216684481445,14.143138,"{'n_estimators': 1070, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1070,gini,10.0,5,1,sqrt,0.9,Titanic,0.1509247744268588
15,1,-0.11561301232598371,0.11561301232598371,15.284799,"{'n_estimators': 1133, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': 0.9}",1133,entropy,15.0,4,3,sqrt,0.9,Titanic,0.1509247744268588
16,1,-0.11866403531511098,0.11866403531511098,15.918699,"{'n_estimators': 1237, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.9}",1237,gini,10.0,4,5,sqrt,0.9,Titanic,0.1509247744268588
17,1,-0.1164554330214117,0.1164554330214117,18.258446,"{'n_estimators': 1405, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 0.33, 'max_samples': 0.9}",1405,entropy,15.0,4,3,0.33,0.9,Titanic,0.1509247744268588
18,2,-0.1188368930950508,0.1188368930950508,2.623537,"{'n_estimators': 1002, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 19, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",1002,gini,20.0,19,4,sqrt,0.9,Titanic,0.1509247744268588
19,1,-0.11466889247050896,0.11466889247050896,16.57764,"{'n_estimators': 1224, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",1224,entropy,10.0,5,2,sqrt,0.9,Titanic,0.1509247744268588
20,1,-0.11592638217242798,0.11592638217242798,17.085147,"{'n_estimators': 1322, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.33, 'max_samples': 0.9}",1322,gini,10.0,5,1,0.33,0.9,Titanic,0.1509247744268588
